Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
2, target/scala-2.12/routes/main/app/Routes.scala, 21228, false, 2037, 59672, 97838, 8206, 387
3, app/models/messages/goodsitem/Package.scala, 3232, false, 210, 1311, 3102, 167, 52
0, app/models/messages/goodsitem/SpecialMention.scala, 3133, false, 238, 1493, 3456, 220, 70
1, app/models/messages/goodsitem/ProducedDocument.scala, 2886, false, 84, 446, 765, 35, 12
3, target/scala-2.12/routes/main/controllers/addItems/ReverseRoutes.scala, 2324, false, 328, 7641, 9492, 412, 177
4, target/scala-2.12/routes/main/controllers/traderDetails/ReverseRoutes.scala, 2212, false, 276, 5138, 6553, 413, 187
1, target/scala-2.12/routes/main/controllers/addItems/javascript/JavaScriptReverseRoutes.scala, 2190, false, 154, 4532, 5368, 525, 240
4, target/scala-2.12/routes/main/controllers/routeDetails/ReverseRoutes.scala, 2187, false, 162, 2952, 3723, 213, 97
7, app/models/PreviousDocumentTypeList.scala, 2040, false, 45, 45, 220, 6, 3
7, app/controllers/addItems/TotalNetMassController.scala, 1725, false, 87, 344, 624, 66, 38
2, app/models/journeyDomain/MovementDetails.scala, 1711, false, 138, 228, 1396, 55, 32
1, app/navigation/GoodsSummaryNavigator.scala, 1685, false, 90, 926, 1554, 92, 55
5, app/models/journeyDomain/RouteDetails.scala, 1610, false, 110, 235, 972, 46, 29
4, app/models/messages/Seal.scala, 1517, false, 47, 46, 228, 9, 6
1, app/controllers/guaranteeDetails/LiabilityAmountController.scala, 1497, false, 87, 320, 564, 65, 43
3, target/scala-2.12/routes/main/controllers/goodsSummary/ReverseRoutes.scala, 1441, false, 230, 4276, 5421, 328, 228
6, app/controllers/transportDetails/AddIdAtDepartureLaterController.scala, 1440, false, 68, 182, 277, 32, 22
3, app/utils/SectionsHelper.scala, 1386, false, 151, 2196, 4112, 274, 198
7, app/utils/AddItemsCheckYourAnswersHelper.scala, 1382, false, 112, 2094, 4645, 344, 249
0, target/scala-2.12/routes/main/controllers/traderDetails/javascript/JavaScriptReverseRoutes.scala, 1297, false, 147, 3278, 3663, 514, 396
0, app/models/messages/goodsitem/GoodsItem.scala, 1150, false, 213, 1294, 2631, 99, 86
5, app/pages/addItems/traderDetails/TraderDetailsConsigneeEoriKnownPage.scala, 1133, false, 47, 55, 238, 9, 8
6, target/scala-2.12/routes/main/controllers/transportDetails/ReverseRoutes.scala, 1099, false, 179, 3010, 3829, 247, 225
2, app/navigation/AddItemsNavigator.scala, 1096, false, 178, 2220, 3493, 189, 172
5, app/utils/AddSealHelper.scala, 1039, false, 54, 329, 681, 54, 52
4, app/controllers/traderDetails/AddConsigneeController.scala, 1029, false, 87, 338, 660, 67, 65
4, app/utils/MovementDetailsCheckYourAnswersHelper.scala, 1011, false, 51, 667, 1545, 115, 114
6, app/pages/addItems/DeclareMarkPage.scala, 1009, false, 53, 64, 285, 9, 9
0, app/controllers/addItems/TotalPiecesController.scala, 1002, false, 91, 352, 638, 69, 69
5, app/controllers/guaranteeDetails/DefaultAmountController.scala, 1002, false, 87, 338, 660, 67, 67
2, target/scala-2.12/routes/main/controllers/addItems/traderDetails/ReverseRoutes.scala, 994, false, 165, 3457, 4319, 205, 206
4, app/models/package.scala, 981, false, 84, 769, 1244, 114, 116
4, app/navigation/TraderDetailsNavigator.scala, 957, false, 101, 1104, 1773, 173, 181
7, app/models/messages/guarantee/GuaranteeReference.scala, 947, false, 107, 511, 1056, 47, 50
6, app/navigation/GuaranteeDetailsNavigator.scala, 934, false, 67, 799, 1371, 76, 81
4, app/models/messages/trader/TraderConsignee.scala, 911, false, 94, 546, 987, 41, 45
1, target/scala-2.12/routes/main/controllers/addItems/previousReferences/ReverseRoutes.scala, 901, false, 105, 2193, 2703, 105, 117
5, app/controllers/addItems/PackageTypeController.scala, 862, false, 101, 400, 737, 82, 95
6, target/scala-2.12/routes/main/controllers/movementDetails/ReverseRoutes.scala, 856, false, 141, 2294, 2917, 188, 220
1, app/controllers/addItems/traderDetails/TraderDetailsConsignorNameController.scala, 854, false, 91, 340, 599, 66, 77
7, app/models/package.scala, 852, false, 84, 769, 1244, 114, 134
0, target/scala-2.12/routes/main/controllers/guaranteeDetails/ReverseRoutes.scala, 844, false, 141, 2294, 2917, 188, 223
4, app/controllers/addItems/AddAnotherPackageController.scala, 826, false, 101, 493, 1036, 85, 103
5, app/controllers/traderDetails/ConsigneeAddressController.scala, 824, false, 101, 517, 1013, 97, 118
